,name,ticker,year,penalty
312,ABB Ltd.,ABB),2015,"5,390"
313,ABB Ltd.,ABB),2005,"5,000"
314,ABB Ltd.,ABB),2015,"5,000"
315,Abbott Laboratories,ABT),2003,"600,000,000"
316,Abbott Laboratories,ABT),2021,"38,750,000"
317,Abbott Laboratories,ABT),2018,"33,200,000"
318,Abbott Laboratories,ABT),2003,"32,500,000"
319,Abbott Laboratories,ABT),2021,"27,000,000"
320,Abbott Laboratories,ABT),2010,"22,500,000"
321,Abbott Laboratories,ABT),2011,"16,000,000"
322,Abbott Laboratories,ABT),2019,"13,747,929"
323,Abbott Laboratories,ABT),2017,"13,023,885"
324,Abbott Laboratories,ABT),2013,"5,475,000"
325,Abbott Laboratories,ABT),2018,"4,860,779"
326,Abbott Laboratories,ABT),2010,"3,725,000"
327,Abbott Laboratories,ABT),2012,"3,650,000"
328,Abbott Laboratories,ABT),2007,"2,950,000"
329,Abbott Laboratories,ABT),2017,"2,000,000"
330,Abbott Laboratories,ABT),2006,"475,672"
331,Abbott Laboratories,ABT),2003,"236,827"
332,Abbott Laboratories,ABT),2016,"210,000"
333,Abbott Laboratories,ABT),2004,"162,595"
334,Abbott Laboratories,ABT),2011,"135,756"
335,Abbott Laboratories,ABT),2013,"93,700"
336,Abbott Laboratories,ABT),2018,"50,000"
337,Abbott Laboratories,ABT),2009,"49,045"
338,Abbott Laboratories,ABT),2008,"25,033"
339,Abbott Laboratories,ABT),2013,"25,000"
340,Abbott Laboratories,ABT),2009,"17,662"
341,Abbott Laboratories,ABT),2004,"16,800"
342,Abbott Laboratories,ABT),2011,"12,000"
343,Abbott Laboratories,ABT),2017,"10,572"
344,Abbott Laboratories,ABT),2007,"9,476"
345,AbbVie,ABBV),2012,"1,500,000,000"
346,AbbVie,ABBV),2010,"600,000,000"
347,AbbVie,ABBV),2012,"339,148,643"
348,AbbVie,ABBV),2021,"200,000,000"
349,AbbVie,ABBV),2011,"164,000,000"
350,AbbVie,ABBV),2010,"149,000,000"
351,AbbVie,ABBV),2010,"126,500,000"
352,AbbVie,ABBV),2015,"125,000,000"
353,AbbVie,ABBV),2011,"70,000,000"
354,AbbVie,ABBV),2010,"60,000,000"
355,AbbVie,ABBV),2010,"41,500,000"
356,AbbVie,ABBV),2003,"40,000,000"
357,AbbVie,ABBV),2016,"38,000,000"
358,AbbVie,ABBV),2018,"33,408,547"
359,AbbVie,ABBV),2008,"28,000,000"
360,AbbVie,ABBV),2018,"25,000,000"
361,AbbVie,ABBV),2020,"24,000,000"
362,AbbVie,ABBV),2005,"15,350,000"
363,AbbVie,ABBV),2017,"15,000,000"
364,AbbVie,ABBV),2009,"14,833,333"
365,AbbVie,ABBV),2009,"14,833,333"
366,AbbVie,ABBV),2010,"14,750,000"
367,AbbVie,ABBV),2019,"13,747,929"
368,AbbVie,ABBV),2011,"11,300,000"
369,AbbVie,ABBV),2015,"10,600,000"
370,AbbVie,ABBV),2019,"7,089,034"
371,AbbVie,ABBV),2008,"6,950,000"
372,AbbVie,ABBV),2013,"6,200,000"
373,AbbVie,ABBV),2007,"5,500,000"
374,AbbVie,ABBV),2010,"4,454,432"
375,AbbVie,ABBV),2018,"4,000,000"
376,AbbVie,ABBV),2012,"4,000,000"
377,AbbVie,ABBV),2018,"3,500,000"
378,AbbVie,ABBV),2013,"3,000,000"
379,AbbVie,ABBV),2013,"3,000,000"
380,AbbVie,ABBV),2016,"2,500,000"
381,AbbVie,ABBV),2010,"2,400,000"
382,AbbVie,ABBV),2018,"1,800,000"
383,AbbVie,ABBV),2012,"1,750,000"
384,AbbVie,ABBV),2012,"1,700,000"
385,AbbVie,ABBV),2009,"1,340,000"
386,AbbVie,ABBV),2013,"1,000,000"
387,AbbVie,ABBV),2001,"826,957"
388,AbbVie,ABBV),2012,"790,000"
389,AbbVie,ABBV),2009,"357,000"
390,AbbVie,ABBV),2013,"116,703"
391,AbbVie,ABBV),2004,"83,871"
392,AbbVie,ABBV),2015,"30,800"
393,AbbVie,ABBV),2004,"20,000"
394,AbbVie,ABBV),2001,"15,000"
395,Abbyland Foods, ,2010,"600,000"
396,Abbyland Foods, ,2007,"84,000"
397,Abbyland Foods, ,2017,"75,000"
398,Abbyland Foods, ,2006,"40,250"
399,Abbyland Foods, ,2006,"25,750"
400,Abbyland Foods, ,2004,"25,000"
401,Abbyland Foods, ,2013,"16,100"
402,Abbyland Foods, ,2016,"15,712"
403,Abbyland Foods, ,2011,"12,000"
404,Abbyland Foods, ,2019,"11,838"
405,Abbyland Foods, ,2015,"9,600"
406,Abbyland Foods, ,2002,"7,105"
407,Abbyland Foods, ,2017,"6,971"
408,Abbyland Foods, ,2005,"6,300"
409,Abbyland Foods, ,2020,"5,852"
410,ABC Supply, ,2004,"100,000"
411,ABC Supply, ,2011,"52,000"
412,ABC Supply, ,2005,"48,750"
413,ABC Supply, ,2017,"45,630"
414,ABC Supply, ,2005,"30,283"
415,ABC Supply, ,2008,"25,000"
416,ABC Supply, ,2019,"17,317"
417,ABC Supply, ,2019,"15,620"
418,ABC Supply, ,2017,"13,037"
419,ABC Supply, ,2017,"9,236"
420,ABC Supply, ,2011,"8,820"
421,ABC Supply, ,2020,"8,400"
422,ABC Supply, ,2005,"8,250"
423,ABC Supply, ,2018,"8,250"
424,ABC Supply, ,2018,"7,956"
425,ABC Supply, ,2007,"7,000"
426,ABC Supply, ,2007,"6,851"
427,ABC Supply, ,2007,"6,635"
428,ABC Supply, ,2019,"6,630"
429,ABC Supply, ,2014,"6,300"
430,ABC Supply, ,2018,"6,199"
431,ABC Supply, ,2019,"6,199"
432,ABC Supply, ,2012,"6,100"
433,ABC Supply, ,2008,"6,000"
434,ABC Supply, ,2012,"6,000"
435,ABC Supply, ,2005,"5,745"
436,ABC Supply, ,2019,"5,683"
437,Abengoa, ,2010,"73,500"
438,Abengoa, ,2014,"60,000"
439,Abengoa, ,2010,"30,000"
440,Abengoa, ,2010,"15,000"
441,Abengoa, ,2015,"10,000"
442,Abengoa, ,2015,"10,000"
443,Abengoa, ,2015,"8,271"
444,Abengoa, ,2006,"8,000"
445,Abengoa, ,2009,"7,509"
446,Abengoa, ,2011,"7,200"
447,Abengoa, ,2011,"7,200"
448,Abengoa, ,2006,"6,000"
449,Abengoa, ,2014,"5,000"
450,Abercrombie & Fitch,ANF),2004,"50,000,000"
451,Abercrombie & Fitch,ANF),2005,"40,000,000"
452,Abercrombie & Fitch,ANF),2018,"25,000,000"
453,Abercrombie & Fitch,ANF),2018,"9,600,000"
454,Abercrombie & Fitch,ANF),2016,"5,250,000"
455,Abercrombie & Fitch,ANF),2016,"2,000,000"
456,Abercrombie & Fitch,ANF),2005,"2,000,000"
457,Abercrombie & Fitch,ANF),2017,"700,000"
458,Abercrombie & Fitch,ANF),2014,"575,000"
459,Abercrombie & Fitch,ANF),2015,"157,593"
460,Abercrombie & Fitch,ANF),2009,"150,000"
461,Abercrombie & Fitch,ANF),2013,"71,000"
462,Abercrombie & Fitch,ANF),2015,"44,600"
463,Abercrombie & Fitch,ANF),2019,"21,720"
464,Abercrombie & Fitch,ANF),2017,"14,120"
465,Abercrombie & Fitch,ANF),2020,"11,052"
466,Abercrombie & Fitch,ANF),2012,"11,000"
467,Abercrombie & Fitch,ANF),2014,"9,000"
468,Abercrombie & Fitch,ANF),2015,"8,400"
469,Abercrombie & Fitch,ANF),2008,"8,150"
470,Abercrombie & Fitch,ANF),2017,"7,060"
471,Abercrombie & Fitch,ANF),2015,"6,200"
472,Abercrombie & Fitch,ANF),2008,"6,000"
473,Aberdeen Flying Service, ,2012,"27,000"
474,Aberdeen Flying Service, ,2012,"21,780"
475,Aberdeen Flying Service, ,2012,"5,400"
